"FILENAME","LIBRARY","SUPPLIER","URL","DOWNLOAD","TAGS"
"put_book_on_shelf_013.wav","Books & Magazines","3maze","https://sonniss.com/sound-effects/books-magazines/","/3maze - Books & Magazines/put_book_on_shelf_013.wav","snote=book|paper|shelves|shelf|library|read|reading|put|arrange|move|object|put_book_on_shelf_013wav|books|&|magazines|3maze"
"put_magazine_on_table_002.wav","Books & Magazines","3maze","https://sonniss.com/sound-effects/books-magazines/","/3maze - Books & Magazines/put_magazine_on_table_002.wav","snote=magazine|zine|paper|table|library|read|reading|put|place|down|move|object|put_magazine_on_table_002wav|books|&|magazines|3maze"
"shut_small_book_002.wav","Books & Magazines","3maze","https://sonniss.com/sound-effects/books-magazines/","/3maze - Books & Magazines/shut_small_book_002.wav","snote=book|paper|read|reading|shut|close|slam|impact|shut_small_book_002wav|books|&|magazines|3maze"
"turn_page_thick_magazine_002.wav","Books & Magazines","3maze","https://sonniss.com/sound-effects/books-magazines/","/3maze - Books & Magazines/turn_page_thick_magazine_002.wav","snote=magazine|zine|page|pages|turn|paper|read|reading|turn_page_thick_magazine_002wav|books|&|magazines|3maze"
"crush_box_004.wav","Box Abuse","3maze","https://sonniss.com/sound-effects/box-abuse/","/3maze - Box Abuse/crush_box_004.wav","snote=box|crush|smash|destroy|cardboard|paper|flatten|break|impact|damage|crush_box_004wav|box|abuse|3maze"
"drop_multiple_boxes_003.wav","Box Abuse","3maze","https://sonniss.com/sound-effects/box-abuse/","/3maze - Box Abuse/drop_multiple_boxes_003.wav","snote=box|cardboard|paper|drop|hit|smash|impact|damage|fall|drop_multiple_boxes_003wav|box|abuse|3maze"
"rip_box_002.wav","Box Abuse","3maze","https://sonniss.com/sound-effects/box-abuse/","/3maze - Box Abuse/rip_box_002.wav","snote=box|cardboard|paper|rip|hands|tear|damage|rip_box_002wav|box|abuse|3maze"
"scratch_box_002.wav","Box Abuse","3maze","https://sonniss.com/sound-effects/box-abuse/","/3maze - Box Abuse/scratch_box_002.wav","snote=box|cardboard|paper|nails|scratch|hands|hand|damage|scratch_box_002wav|box|abuse|3maze"
"fm_swell_005.wav","Rise & Swell","3maze","https://sonniss.com/sound-effects/rise-swell/","/3maze - Rise & Swell/fm_swell_005.wav","snote=fm|designed|synth|sci|fi|sound|design|frequency|modulation|rise|swell|effect|transition|riser|fm_swell_005wav|rise|&|swell|3maze"
"swell_mixed_002.wav","Rise & Swell","3maze","https://sonniss.com/sound-effects/rise-swell/","/3maze - Rise & Swell/swell_mixed_002.wav","snote=swell|rise|designed|transition|dark|layered|mixed|swell_mixed_002wav|rise|&|swell|3maze"
